Year	Food	Textiles	Wood_Paper	Leather	Chemicals_Fuels	Machinery	Metals
1827	28.69959867	18.4985597	16.7097164	15.8893553	22.22101652	28.52870472	22.65924759
1828	29.59436265	15.83339006	20.23740347	16.78586379	21.64993578	29.78570276	21.23953301
1829	26.22471565	15.33765362	17.94984881	17.00100289	22.85416195	25.14025124	22.98807967
1830	32.78784507	16.13107352	16.12569167	23.16611516	30.65193721	22.4513088	40.31463367
1831	33.69609494	23.01315137	18.58930982	34.35095512	33.07381344	26.7530488	39.97002435
1832	31.96676854	23.19641572	22.08713685	47.33844985	33.8541922	37.25936467	37.14040955
1833	34.84194866	25.25823063	24.79345261	53.18862249	39.83934744	39.23213237	43.84419714
1834	33.61964336	26.4568169	28.47279299	46.66650795	40.09398446	35.47458621	35.55086603
1835	36.56568596	28.36899272	32.14343251	48.99200076	47.75953931	36.12939074	47.98470409
1836	30.2594877	32.04856602	33.40580254	55.86652033	47.56153165	47.18698668	46.74383662
1837	30.64088056	30.58077257	32.0749866	47.11048341	58.3297429	46.99563778	50.34245679
1838	37.93431103	33.63449745	37.48029687	40.08501096	54.40387574	45.2361023	49.35146407
1839	41.48200479	38.42343544	40.32334144	41.39675183	58.79636483	53.39022971	62.67913078
1840	62.65346493	41.32377183	37.43935564	35.5906618	58.47464266	44.02574257	44.32545893
1841	63.74937383	42.86825606	40.50792948	40.13047581	61.42109354	43.32114244	49.71889973
1842	61.48693273	39.37233068	49.32462963	47.35377311	59.30353072	37.82099051	53.35869467
1843	69.08307272	48.02898475	57.90050464	46.87267712	68.3745232	42.44948643	51.88045248
1844	67.50276684	51.50523852	59.07192279	58.24103621	76.47619881	45.12673495	75.99445661
1845	68.44202888	57.90217877	68.44569265	55.97993282	86.96447652	58.94089431	77.12344879
1846	101.4889	62.75619926	72.64967025	54.02051479	78.57111211	75.42331392	104.0310909
1847	130.1975813	68.81974755	87.87805946	66.36411065	94.98835941	84.25526979	103.7713466
1848	99.81619161	93.3679617	96.17744913	71.08259758	95.56650567	95.97289761	114.8979203
1849	98.7938359	100.7060494	94.21106363	92.65260881	100.0492611	96.03208297	109.1628302
1850	101.7134095	99.01983922	108.7069548	111.2754315	99.93107527	105.8320263	88.44948297
1851	113.9394344	72.99732884	117.7937833	111.7552232	125.8373935	141.1869902	83.17062455
1852	131.8316521	105.4700232	133.5803757	105.8161299	117.9216691	158.5862993	108.4385613
1853	119.7843313	126.1141343	137.4734391	111.3820968	144.7067865	190.8432514	153.8827731
1854	100.9313106	113.6185334	143.1145567	112.5888705	159.4903442	242.0965512	132.300685
1855	116.5107115	111.0774051	170.700312	127.6543817	161.433161	203.232584	120.025057
1856	123.3564906	125.5213849	173.3068685	127.8728828	166.5920586	201.6166771	135.7152844
1857	115.7170927	132.9283957	173.9336368	135.6911994	167.3695016	171.3562969	133.2411587
1858	153.7296823	97.36286659	171.9520242	162.7884768	169.1175728	128.2193626	129.3052578
1859	156.9276011	151.9052547	185.0187857	169.7059643	187.8227062	128.9490272	139.3759419
1860	157.53975	147.3787855	181.3828953	139.8672654	190.3924978	171.1897002	137.8572324
1861	230.290287	151.8751676	168.4449329	120.3826081	189.829094	155.6497146	115.8935676
1862	264.9489414	112.2524734	146.7769217	146.7878248	197.7572677	225.6435511	157.3827121
1863	258.6861979	131.5633227	163.6262922	152.3130927	215.4480375	286.7155661	161.7448998
1864	215.7441612	169.1491622	172.5685189	155.6620165	229.3020477	307.2709806	179.9957748
1865	204.2066831	142.7233968	200.8299914	138.1147062	217.1471148	261.512617	198.4970545
1866	229.1659557	115.2354804	230.9197362	192.0743079	260.7994793	224.7061344	220.0471398
1867	228.6684406	125.4044669	259.427166	235.7646923	268.5395588	233.9109718	233.6849247
1868	256.4058726	144.5829551	267.4290392	223.7304477	299.814452	237.1575792	242.4590693
1869	271.0024646	143.5144062	284.3662756	233.5180203	332.4819787	265.0689686	289.0283581
1870	268.9878652	141.2126405	293.7679255	227.3784121	355.6172551	279.7968101	299.8203049
1871	260.5801368	180.6529128	282.883436	231.2263225	369.3473913	299.6476629	293.6343601
1872	261.1285998	196.8323646	313.7757733	211.5163762	432.1927071	304.3618933	386.9671818
1873	334.7912143	194.0026918	332.5718244	189.2559201	481.9871398	386.3753228	405.2264195
1874	379.2737736	216.1535577	318.8386183	235.5166152	467.1187761	314.8399777	385.2734704
1875	382.9074476	190.2988752	333.9583885	223.6876722	483.7590017	260.7906977	363.8110166
