"Application: Tecan i-control","...2","...3","...4","Tecan i-control , 1.5.14.0","...6","...7","...8","...9","...10","...11","...12","...13"
"Device: infinite 500",NA,NA,NA,"Serial number: 901001915",NA,NA,NA,"Serial number of connected stacker:",NA,NA,NA,NA
"Firmware: V_1.30_05/2007_I500F (May 18 2007/14.36.50)",NA,NA,NA,"MAI, V_1.30_05/2007_I500F (May 18 2007/14.36.50)",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date:","42323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time:","3:26:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"System",NA,NA,NA,"SUNY-BDA5649A54",NA,NA,NA,NA,NA,NA,NA,NA
"User",NA,NA,NA,"SUNY-BDA5649A54\Aaron",NA,NA,NA,NA,NA,NA,NA,NA
"Plate",NA,NA,NA,"Corning 96 Flat Bottom Transparent Polystyrol  [COS96ft.pdfx]",NA,NA,NA,NA,NA,NA,NA,NA
"Plate-ID (Stacker)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comment",NA,NA,NA,"LAA-E2-S1-T7-P1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Label: OD600_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mode",NA,NA,NA,"Absorbance",NA,NA,NA,NA,NA,NA,NA,NA
"Wavelength",NA,NA,NA,"600","nm",NA,NA,NA,NA,NA,NA,NA
"Bandwidth",NA,NA,NA,"0","nm",NA,NA,NA,NA,NA,NA,NA
"Number of Flashes",NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA
"Settle Time",NA,NA,NA,"0","ms",NA,NA,NA,NA,NA,NA,NA
"Start Time:","11/15/2015 3:26:55 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Temperature: 34.4 °C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<>","1",2,3,"4","5",6,7,"8",9,10,11,12
"A","0.36050000786781311",0.289299994707108,0.389099985361099,"4.3000001460313797E-2","0.42190000414848328",0.063400000333786,0.044599998742342,"0.11550000309944153",0.0403000004589558,0.0405000001192093,0.0416000001132488,0.0410000011324883
"B","0.37569999694824219",0.361999988555908,0.331499993801117,"4.4300001114606857E-2","0.28880000114440918",0.0812000036239624,0.0430999994277954,"8.3499997854232788E-2",0.0408999994397163,0.0408999994397163,0.0410999990999699,0.0395999997854233
"C","0.36419999599456787",0.394699990749359,0.328000009059906,"4.3400000780820847E-2","0.37189999222755432",0.0604000017046928,0.114200003445148,"5.1199998706579208E-2",0.0439999997615814,0.0410999990999699,0.0419999994337559,0.0397999994456768
"D","4.309999942779541E-2",0.0403999984264374,0.0428999997675419,"4.3999999761581421E-2","4.3400000780820847E-2",0.0416000001132488,0.0419000014662743,"7.4299998581409454E-2",0.045499999076128,0.0423999987542629,0.0421000011265278,0.0419999994337559
"E","4.4300001114606857E-2",0.0408999994397163,0.0428999997675419,"5.559999868273735E-2","5.4499998688697815E-2",0.0434000007808208,0.0410999990999699,"6.589999794960022E-2",0.0434000007808208,0.0454000011086464,0.0441999994218349,0.0438000001013279
"F","4.1200000792741776E-2",0.0412999987602234,0.0412000007927418,"0.10580000281333923","4.4500000774860382E-2",0.0441999994218349,0.0441999994218349,"4.7899998724460602E-2",0.0474999994039536,0.0538999997079372,0.0452999994158745,0.3158999979496
"G","0.29350000619888306",0.276800006628036,0.287800014019012,"4.6500001102685928E-2","4.7400001436471939E-2",0.236800000071526,0.0412000007927418,"5.9300001710653305E-2",0.0443999990820885,0.0449000000953674,0.0731000006198883,0.0419999994337559
"H","0.30349999666213989",0.281699985265732,0.271100014448166,"4.5299999415874481E-2","4.1700001806020737E-2",0.242899999022484,0.0412000007927418,"5.9399999678134918E-2",0.0428999997675419,0.0419999994337559,0.0430000014603138,0.0447999984025955
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"End Time:","11/15/2015 3:27:37 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Movement",NA,NA,NA,"Move Plate Out",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Custom Action",NA,NA,NA,"Take Plate",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Movement",NA,NA,NA,"Move Plate In",NA,NA,NA,NA,NA,NA,NA,NA
