"Application: Tecan i-control","...2","...3","...4","Tecan i-control , 1.5.14.0","...6","...7","...8","...9","...10","...11","...12","...13"
"Device: infinite 500",NA,NA,NA,"Serial number: 901001915",NA,NA,NA,"Serial number of connected stacker:",NA,NA,NA,NA
"Firmware: V_1.30_05/2007_I500F (May 18 2007/14.36.50)",NA,NA,NA,"MAI, V_1.30_05/2007_I500F (May 18 2007/14.36.50)",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date:","42322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time:","9:30:52 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"System",NA,NA,NA,"SUNY-BDA5649A54",NA,NA,NA,NA,NA,NA,NA,NA
"User",NA,NA,NA,"SUNY-BDA5649A54\Aaron",NA,NA,NA,NA,NA,NA,NA,NA
"Plate",NA,NA,NA,"Corning 96 Flat Bottom Transparent Polystyrol  [COS96ft.pdfx]",NA,NA,NA,NA,NA,NA,NA,NA
"Plate-ID (Stacker)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comment",NA,NA,NA,"LAA-E2-S1-T6-P1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Label: OD600_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mode",NA,NA,NA,"Absorbance",NA,NA,NA,NA,NA,NA,NA,NA
"Wavelength",NA,NA,NA,"600","nm",NA,NA,NA,NA,NA,NA,NA
"Bandwidth",NA,NA,NA,"0","nm",NA,NA,NA,NA,NA,NA,NA
"Number of Flashes",NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA
"Settle Time",NA,NA,NA,"0","ms",NA,NA,NA,NA,NA,NA,NA
"Start Time:","11/14/2015 9:30:52 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Temperature: 34.8 °C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<>","1",2,3,"4","5",6,7,"8",9,10,11,12
"A","0.25569999217987061",0.36489999294281,0.36039999127388,"4.3299999088048935E-2","0.35389998555183411",0.0423000007867813,0.0395999997854233,"3.9599999785423279E-2",0.0401000007987022,0.0395999997854233,0.0410000011324883,0.0430999994277954
"B","0.37959998846054077",0.355399996042252,0.335099995136261,"4.4100001454353333E-2","0.32679998874664307",0.0403999984264374,0.0535999983549118,"4.0699999779462814E-2",0.0406000018119812,0.0384000018239021,0.0392999984323978,0.0381000004708767
"C","0.37520000338554382",0.362199991941452,0.327199995517731,"4.4100001454353333E-2","0.31670001149177551",0.0410999990999699,0.0419000014662743,"4.179999977350235E-2",0.043699998408556,0.0399999991059303,0.0410000011324883,0.0401999987661839
"D","4.1299998760223389E-2",0.0403999984264374,0.0430999994277954,"4.3200001120567322E-2","4.3000001460313797E-2",0.0408000014722347,0.0419999994337559,"4.3800000101327896E-2",0.0441999994218349,0.0465000011026859,0.0421999990940094,0.0403999984264374
"E","4.1600000113248825E-2",0.0417999997735023,0.0425999984145164,"5.6000001728534698E-2","5.429999902844429E-2",0.0421000011265278,0.0410000011324883,"4.4700000435113907E-2",0.0425000004470348,0.0421000011265278,0.0425999984145164,0.0412999987602234
"F","4.2100001126527786E-2",0.0417999997735023,0.0427000001072884,"0.13109999895095825","4.3900001794099808E-2",0.0443000011146069,0.045499999076128,"4.2500000447034836E-2",0.0513999983668327,0.0441999994218349,0.0441000014543533,0.0428000018000603
"G","0.23379999399185181",0.240600004792213,0.256500005722046,"4.6000000089406967E-2","4.3800000101327896E-2",0.23309999704361,0.0408000014722347,"4.1299998760223389E-2",0.0425999984145164,0.0423999987542629,0.0577000007033348,0.0417000018060207
"H","0.2492000013589859",0.254700005054474,0.248600006103516,"4.4199999421834946E-2","4.1700001806020737E-2",0.234500005841255,0.0408999994397163,"4.0600001811981201E-2",0.0414000004529953,0.0414999984204769,0.0423999987542629,0.0485000014305115
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"End Time:","11/14/2015 9:31:34 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Movement",NA,NA,NA,"Move Plate Out",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Custom Action",NA,NA,NA,"Take Plate",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Movement",NA,NA,NA,"Move Plate In",NA,NA,NA,NA,NA,NA,NA,NA
